NTD_ID,Legacy NTD ID,Agency Name,Reporter Acronym,Doing Business As,Reporter Status,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles,TAM Tier
00001,0001,King County Department of Metro Transit,KCM,King County Metro,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,201 South Jackson Street,M.S. KSC-TR-0333,,Seattle,WA,98104,3856,10,http://metro.kingcounty.gov/,1731,805622313,"2,134","2,149,970",14,"Seattle, WA",,"3,059,393","3,028","1,010","2,788",445,"3,233",,,Tier I (Rail)
00002,0002,Spokane Transit Authority,STA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,1230 West Boone Avenue,,,Spokane,WA,99201,,10,http://www.spokanetransit.com/,1733,060044575,248,"436,261",96,"Spokane, WA",,"387,847","2,362",164,260,46,306,,,Tier I (Fixed Route VOMS)
00003,0003,Pierce County Transportation Benefit Area Authority,Pierce Transit,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,"3701 96th Street, S.W.",,99070,Tacoma,WA,98496,70,10,http://www.piercetransit.org/,1730,017850363,292,"569,490",14,"Seattle, WA",,"3,059,393","3,028","1,010",462,56,518,,,Tier I (Fixed Route VOMS)
00004,0T04,Confederated Tribes of the Colville Indian Reservation,,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,CCT DOT,,150,Nespelem,WA,99155,,10,http://www.colvilletribes.com/,6683,112167510,,,0,Washington Non-UZA,"Colville Reservation and Off-Reservation Trust Land, WA",0,0,0,4,,4,,,
00005,0005,City of Everett,ET,EVERETT TRANSIT SYSTEM,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,3225 Cedar Street,,,Everett,WA,98201,,10,http://www.everetttransit.org/,1743,155780190,34,"111,262",14,"Seattle, WA",,"3,059,393","3,028","1,010",53,,53,,,Tier II
00006,0006,City of Yakima,YT,Yakima Transit,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,2301 Fruitvale Boulevard,,,Yakima,WA,98902,1298,10,http://www.yakimatransit.org/,1750,078212651,33,"100,715",248,"Yakima, WA",,"129,534","2,165",60,34,26,60,,,Tier II
00007,0007,Lane Transit District,LTD,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2019,10/31/2019,3500 East 17th Avenue,,,Eugene,OR,97403,,10,http://www.ltd.org/,1738,060588639,482,"302,200",151,"Eugene, OR",,"247,421","2,852",87,84,145,229,,,Tier II
00008,0008,Tri-County Metropolitan Transportation District of Oregon,TriMet,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2019,10/31/2019,"1800 SW 1st Avenue, Suite 300",,,Portland,OR,97201,5354,10,http://www.trimet.org/,1728,007909096,383,"1,565,010",24,"Portland, OR-WA",,"1,849,898","3,528",524,700,273,973,,,Tier I (Rail)
00009,0T09,Kalispel Tribe of Indians,KTI,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2019,4/30/2020,,,39,Usk,WA,99180,39,10,http://www.kalispeltribe.com/,6680,071836951,,,0,Washington Non-UZA,"Kalispel Reservation and Off-Reservation Trust Land, WA",0,0,0,11,,11,,,
00010,0T10,Klamath Tribes,KT,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2019,4/30/2020,501 S. Chiloquin Blvd.,,436,Chiloquin,OR,97624,,10,http://klamathtribes.org/administration/community-services/transportation-program/,6806,161155288,0,0,0,Oregon Non-UZA,"Klamath Reservation, OR",0,0,0,7,,7,,,
