NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Expense Type,Passenger Paid Fares,Organization Paid Fares,Total Fares
00001,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Funds Earned During Period,"$4,798,252","$11,001,346","$15,799,598"
00001,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$469,005","$480,069","$949,074"
00001,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,Funds Earned During Period,"$190,037",$0,"$190,037"
00001,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Funds Earned During Period,"$1,671,089","$1,710,511","$3,381,600"
00001,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Funds Earned During Period,"$21,120,838","$22,139,891","$43,260,729"
00001,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$70,088,517","$71,741,969","$141,830,486"
00001,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Funds Earned During Period,"$519,279","$531,529","$1,050,808"
00001,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Funds Earned During Period,"$807,156","$826,198","$1,633,354"
00001,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Funds Earned During Period,"$11,626,859","$11,901,147","$23,528,006"
00001,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$3,680,282","$3,767,103","$7,447,385"
00002,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$600,245",$0,"$600,245"
00002,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$190,663",$0,"$190,663"
00002,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$8,319,188","$1,581,901","$9,901,089"
00002,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$478,372",$0,"$478,372"
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,CB,PT,Funds Earned During Period,"$11,061,723",$0,"$11,061,723"
