NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Operating Expense Type,Operators' Salaries and Wages,Operators' Paid Absences,Other Salaries and Wages,Other Paid Absences,Fringe Benefits,Service Costs,Fuel and Lubricants,Tires and Tubes,Other Materials and Supplies,Utilities,Casualty and Liability Costs,Taxes,PT Funds In Report,PT Funds Reported Separately,Miscellaneous Expenses,Reduced Reporting Waiver - Total OE,Total Operating Expenses,Total Operating Expenses (No Funds Reported Separately),ADA Related Expenses
00001,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Facility Maintenance,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,854,742",$0,$0,"$1,854,742",$0,$0
00001,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,General Administration,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$7,723,463",$0,$0,"$7,723,463",$0,$0
00001,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Total,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$52,973,384",$0,$0,"$52,973,384",$0,$0
00001,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Vehicle Maintenance,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$13,633,310",$0,$0,"$13,633,310",$0,$0
00001,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Vehicle Operations,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$29,761,869",$0,$0,"$29,761,869",$0,$0
00001,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Facility Maintenance,$0,$0,$625,$0,$418,$0,$0,$0,$0,$0,$0,$0,"$936,977",$0,$0,$0,"$938,020","$938,020",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,General Administration,$0,$0,"$1,883,088","$421,189","$898,464","$3,674,845",$0,$0,"$387,246","$148,302",$0,$0,"$16,840,436",$0,"$19,581",$0,"$24,273,151","$24,273,151",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Total,$0,$0,"$1,883,713","$421,189","$898,882","$3,683,115","$2,456,522",$0,"$387,246","$148,302",$0,$0,"$65,242,850",$0,"$19,581",$0,"$75,141,400","$75,141,400","$75,141,400"
00001,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Vehicle Maintenance,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$9,467,371",$0,$0,$0,"$9,467,371","$9,467,371",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Vehicle Operations,$0,$0,$0,$0,$0,"$8,270","$2,456,522",$0,$0,$0,$0,$0,"$37,998,066",$0,$0,$0,"$40,462,858","$40,462,858",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,Facility Maintenance,$0,$0,$27,$0,$18,$0,$0,$0,$0,$0,$0,$0,"$39,774",$0,$0,$0,"$39,819","$39,819",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,General Administration,$0,$0,"$79,936","$17,879","$38,139","$155,995",$0,$0,"$16,438","$6,295",$0,$0,"$714,865",$0,$830,$0,"$1,030,377","$1,030,377",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,Total,$0,$0,"$79,963","$17,879","$38,157","$156,346","$104,278",$0,"$16,438","$6,295",$0,$0,"$2,769,515",$0,$830,$0,"$3,189,701","$3,189,701","$3,189,701"
00001,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,Vehicle Maintenance,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$401,884",$0,$0,$0,"$401,884","$401,884",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,Vehicle Operations,$0,$0,$0,$0,$0,$351,"$104,278",$0,$0,$0,$0,$0,"$1,612,992",$0,$0,$0,"$1,717,621","$1,717,621",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Facility Maintenance,$0,$0,"$10,301",$0,"$4,850","$66,656",$0,$0,"$43,355",$0,$0,$0,$0,$0,$153,$0,"$125,315","$125,315",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,General Administration,$0,$0,"$534,061","$130,034","$219,458","$1,200,561",$0,$0,"$43,407","$47,593","$586,624",$0,$0,$0,"$20,151",$0,"$2,781,889","$2,781,889",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Total,"$1,088,925","$193,391","$1,185,059","$229,784","$1,130,290","$1,806,012","$559,995",$0,"$337,946","$47,593","$586,624","$6,183",$0,$0,"$27,834",$0,"$7,199,636","$7,199,636",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Vehicle Maintenance,$0,$0,"$416,364","$64,018","$186,313","$340,628","$21,771",$0,"$226,795",$0,$0,$0,$0,$0,"$4,501",$0,"$1,260,390","$1,260,390",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Vehicle Operations,"$1,088,925","$193,391","$224,333","$35,732","$719,669","$198,167","$538,224",$0,"$24,389",$0,$0,"$6,183",$0,$0,"$3,029",$0,"$3,032,042","$3,032,042",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Facility Maintenance,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$24,741,049",$0,$0,"$24,741,049",$0,$0
00001,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,General Administration,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$7,712,428",$0,$0,"$7,712,428",$0,$0
00001,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Total,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$59,640,285",$0,$0,"$59,640,285",$0,$0
00001,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Vehicle Maintenance,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$8,660,552",$0,$0,"$8,660,552",$0,$0
00001,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Vehicle Operations,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$18,526,256",$0,$0,"$18,526,256",$0,$0
00001,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Facility Maintenance,$0,$0,"$12,556,398","$3,659,227","$6,974,512","$4,244,193",$0,$0,"$2,452,034",$0,$0,"$502,670",$0,$0,"$730,377",$0,"$31,119,411","$31,119,411",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,General Administration,$0,$0,"$19,958,269","$4,662,892","$8,602,071","$63,781,553",$0,$0,"$929,599","$3,590,425","$12,686,311",$0,$0,$0,"$1,815,218",$0,"$116,026,338","$116,026,338",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Total,"$150,978,992","$22,365,511","$102,754,892","$22,102,523","$142,774,154","$92,571,265","$22,493,357","$3,093,040","$32,525,633","$3,655,787","$12,686,311","$502,670",$0,$0,"$2,771,453",$0,"$611,275,588","$611,275,588",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Vehicle Maintenance,$0,$0,"$43,602,316","$8,815,964","$24,835,678","$843,147","$954,808","$378,817","$28,138,091",$0,$0,$0,$0,$0,"$175,228",$0,"$107,744,049","$107,744,049",$0
00001,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Vehicle Operations,"$150,978,992","$22,365,511","$26,637,909","$4,964,440","$102,361,893","$23,702,372","$21,538,549","$2,714,223","$1,005,909","$65,362",$0,$0,$0,$0,"$50,630",$0,"$356,385,790","$356,385,790",$0
