NTD_ID,Agency Name,Reporter Type,Subrecipient Type,Reporting Module,Mode,TOS,Time Period,Time Service Begins,Time Service Ends,Vehicles/Passenger Cars Operated in Maximum Service,Vehicles/Passenger Cars Available for Maximum Service,Trains in Operation,Vehicles/Passenger Cars in Operation,Actual Vehicle/Passenger Car Miles,Actual Vehicle/Passenger Car Revenue Miles,Actual Vehicle/Passenger Car Deadhead Miles,Scheduled Actual Vehicle/Passenger Car Revenue Miles,Actual Vehicle/Passenger Car Hours,Actual Vehicle/Passenger Car Revenue Hours,Actual Vehicle/Passenger Car Deadhead Hours,Charter Service Hours,School Bus Hours,Train Miles,Train Revenue Miles,Train Deadhead Miles,Train Hours,Train Revenue Hours,Train Deadhead Hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service UPT,Passenger Miles,Days of Service Operated,Days Not Operated Due to Strikes,Strike Comment,Days Not Operated Due to Emergencies,Emergency Comment,Non-Statutory Mixed Traffic,DRM Mixed Traffic ROW
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Typical Weekday,12:00 AM,12:00 AM,,,,327,"33,726","28,450","5,276",,"2,275","1,976",299,,,,,,,,,"2,994",,,"30,307",255,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Typical Saturday,12:00 AM,12:00 AM,,,,167,"15,749","13,160","2,589",,"2,399","2,072",327,,,,,,,,,"1,283",,,"11,666",52,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Typical Sunday,12:00 AM,12:00 AM,,,,125,"11,932","9,873","2,059",,"1,815","1,560",255,,,,,,,,,993,,,"9,535",58,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Annual Total,,,327,490,,,"10,111,164","8,511,613","1,599,551",,"810,225","702,176","108,049",,,,,,,,,"887,915","887,915",,"8,887,848",,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DT,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DT,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DT,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DT,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DT,PT,Average Typical Weekday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DT,PT,Average Typical Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DT,PT,Average Typical Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DT,PT,Annual Total,,,89,89,,,,"2,052,404",,,,"67,214",,,,,,,,,,"177,791","177,791",,"2,398,907",365,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - AM Peak,5:30 AM,9:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - Midday,9:15 AM,3:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - PM Peak,3:15 PM,7:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Typical Weekday,5:30 AM,7:30 PM,,,,2,197,197,0,199,21,21,0,,,,,,,,,"2,445",,,"13,171",248,0,,0,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Typical Saturday,8:30 AM,11:30 PM,,,,1,68,68,0,68,15,15,0,,,,,,,,,"1,715",,,"3,663",30,0,,0,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Typical Sunday,8:30 AM,8:30 PM,,,,1,49,49,0,49,12,12,0,,,,,,,,,"1,371",,,"2,743",32,0,,0,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Annual Total,,,3,3,,,"52,362","52,362",0,"52,876","6,017","6,017",0,0,,,,,,,,"701,608",,,"3,464,136",,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Weekday - AM Peak,5:00 AM,9:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Weekday - Midday,9:00 AM,3:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Weekday - PM Peak,3:00 PM,7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Typical Weekday,12:00 AM,12:00 AM,,,,986,"144,767","110,638","34,129","109,271","11,661","9,810","1,851",,,,,,,,,"331,475",,,"1,584,198",255,0,,0,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Typical Saturday,12:00 AM,12:00 AM,,,,380,"81,317","71,979","9,338","64,175","7,405","6,806",599,,,,,,,,,"196,756",,,"707,861",52,0,,0,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Typical Sunday,12:00 AM,12:00 AM,,,,316,"69,019","60,846","8,173","54,569","6,226","5,722",504,,,,,,,,,"151,209",,,"559,466",58,0,,0,,,
