ntd_id,legacy_ntd_id,agency_name,reporter_acronym,doing_business_as,reporter_status,reporter_type,reporting_module,organization_type,reported_by_ntd_id,reported_by_name,subrecipient_type,fy_end_date,original_due_date,address_line_1,address_line_2,p_o_box,city,state,zip_code,zip_code_ext,region,url,fta_recipient_id,duns_number,service_area_sq_miles,service_area_pop,primary_uza,uza_name,tribal_area_name,population,density,sq_miles,voms_do,voms_pt,total_voms,volunteer_drivers,personal_vehicles,tam_tier,mode_ar,mode_cb,mode_cc,mode_cr,mode_dr,mode_dt,mode_fb,mode_hr,mode_ip,mode_jt,mode_lr,mode_mb,mode_mg,mode_or,mode_pb,mode_rb,mode_sr,mode_tb,mode_tr,mode_vp,mode_yr,mode_total,mb_only,dr_only,vp_only,mb_dr,vrm_ar,vrm_cb,vrm_cc,vrm_cr,vrm_dr,vrm_dt,vrm_fb,vrm_hr,vrm_ip,vrm_jt,vrm_lr,vrm_mb,vrm_mg,vrm_or,vrm_pb,vrm_rb,vrm_sr,vrm_tb,vrm_tr,vrm_vp,vrm_yr,vrm_total,vrh_ar,vrh_cb,vrh_cc,vrh_cr,vrh_dr,vrh_dt,vrh_fb,vrh_hr,vrh_ip,vrh_jt,vrh_lr,vrh_mb,vrh_mg,vrh_or,vrh_pb,vrh_rb,vrh_sr,vrh_tb,vrh_tr,vrh_vp,vrh_yr,vrh_total,upt_ar,upt_cb,upt_cc,upt_cr,upt_dr,upt_dt,upt_fb,upt_hr,upt_ip,upt_jt,upt_lr,upt_mb,upt_mg,upt_or,upt_pb,upt_rb,upt_sr,upt_tb,upt_tr,upt_vp,upt_yr,upt_total
00001,0001,King County Department of Metro Transit,KCM,King County Metro,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,201 South Jackson Street,M.S. KSC-TR-0333,,Seattle,WA,98104,3856.0,10,http://metro.kingcounty.gov/,1731.0,805622313.0,"2,134","2,149,970",14.0,"Seattle, WA",,"3,059,393","3,028","1,010","2,788",445,"3,233",,,Tier I (Rail),0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0," 8,511,613"," 2,052,404"," 52,362",0.0,0.0,0.0,0.0,36466174.0,0.0,0.0,0.0,0.0," 205,470"," 2,607,942",0.0," 14,648,137",0.0,64544102.0,0.0,0.0,0.0,0.0," 702,176"," 67,214"," 6,017",0.0,0.0,0.0,0.0,3262605.0,0.0,0.0,0.0,0.0," 42,762"," 421,313",0.0," 528,947",0.0,5031034.0,0.0,0.0,0.0,0.0," 887,915"," 177,791"," 701,608",0.0,0.0,0.0,0.0,104362252.0,0.0,0.0,0.0,0.0," 1,863,409"," 17,373,451",0.0," 3,300,186",0.0,128666612.0
00002,0002,Spokane Transit Authority,STA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,1230 West Boone Avenue,,,Spokane,WA,99201,,10,http://www.spokanetransit.com/,1733.0,60044575.0,248,"436,261",96.0,"Spokane, WA",,"387,847","2,362",164,260,46,306,,,Tier I (Fixed Route VOMS),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2393647,0,0,0.0,0.0,0.0,0.0," 6,118,526",0.0,0.0,0.0,0.0,0,0,0.0," 929,850",0.0,9442023.0,0.0,0.0,0.0,0.0,159883,0,0,0.0,0.0,0.0,0.0," 444,299",0.0,0.0,0.0,0.0,0,0,0.0," 28,093",0.0,632275.0,0.0,0.0,0.0,0.0,441097,0,0,0.0,0.0,0.0,0.0," 9,971,798",0.0,0.0,0.0,0.0,0,0,0.0," 155,262",0.0,10568157.0
00003,0003,Pierce County Transportation Benefit Area Authority,Pierce Transit,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2019,4/30/2020,"3701 96th Street, S.W.",,99070,Tacoma,WA,98496,70.0,10,http://www.piercetransit.org/,1730.0,17850363.0,292,"569,490",14.0,"Seattle, WA",,"3,059,393","3,028","1,010",462,56,518,,,Tier I (Fixed Route VOMS),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2013555,0,0,0.0,0.0,0.0,0.0," 5,019,818",0.0,0.0,0.0,0.0,0,0,0.0," 4,529,043",0.0,11562416.0,0.0,0.0,0.0,0.0,144543,0,0,0.0,0.0,0.0,0.0," 444,082",0.0,0.0,0.0,0.0,0,0,0.0," 135,978",0.0,724603.0,0.0,0.0,0.0,0.0,291142,0,0,0.0,0.0,0.0,0.0," 8,376,891",0.0,0.0,0.0,0.0,0,0,0.0," 740,207",0.0,9408240.0
00004,0T04,Confederated Tribes of the Colville Indian Reservation,,,Active,Reduced Reporter,Tribe,Tribe,,,,9/30/2019,1/31/2020,CCT DOT,,150,Nespelem,WA,99155,,10,http://www.colvilletribes.com/,6683.0,112167510.0,,,0.0,Washington Non-UZA,"Colville Reservation and Off-Reservation Trust Land, WA",0,0,0,4,,4,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0," 24,009",0.0,0.0,0.0,0.0," 89,799",0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,113808.0,0.0,0.0,0.0,0.0,0,0," 5,309",0.0,0.0,0.0,0.0," 3,708",0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,9017.0,0.0,0.0,0.0,0.0,0,0," 149,349",0.0,0.0,0.0,0.0," 5,107",0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,154456.0
00005,0005,City of Everett,ET,EVERETT TRANSIT SYSTEM,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,3225 Cedar Street,,,Everett,WA,98201,,10,http://www.everetttransit.org/,1743.0,155780190.0,34,"111,262",14.0,"Seattle, WA",,"3,059,393","3,028","1,010",53,,53,,,Tier II,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0," 561,821",0,0,0.0,0.0,0.0,0.0," 1,195,418",0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,1757239.0,0.0,0.0,0.0,0.0," 48,955",0,0,0.0,0.0,0.0,0.0," 103,309",0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,152264.0,0.0,0.0,0.0,0.0," 125,102",0,0,0.0,0.0,0.0,0.0," 1,606,899",0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,1732001.0
00006,0006,City of Yakima,YT,Yakima Transit,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2019,4/30/2020,2301 Fruitvale Boulevard,,,Yakima,WA,98902,1298.0,10,http://www.yakimatransit.org/,1750.0,78212651.0,33,"100,715",248.0,"Yakima, WA",,"129,534","2,165",60,34,26,60,,,Tier II,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0," 147,959",0.0,0.0," 296,916",0,0,0.0,0.0,0.0,0.0," 649,163",0.0,0.0,0.0,0.0,0,0,0.0," 260,851",0.0,1354889.0,0.0," 4,779",0.0,0.0," 27,759",0,0,0.0,0.0,0.0,0.0," 46,772",0.0,0.0,0.0,0.0,0,0,0.0," 5,687",0.0,84997.0,0.0," 26,746",0.0,0.0," 65,844",0,0,0.0,0.0,0.0,0.0," 922,814",0.0,0.0,0.0,0.0,0,0,0.0," 41,514",0.0,1056918.0
00007,0007,Lane Transit District,LTD,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2019,10/31/2019,3500 East 17th Avenue,,,Eugene,OR,97403,,10,http://www.ltd.org/,1738.0,60588639.0,482,"302,200",151.0,"Eugene, OR",,"247,421","2,852",87,84,145,229,,,Tier II,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0," 1,164,665"," 3,159,039",0,0.0,0.0,0.0,0.0,2938807,0.0,0.0,0.0," 688,848",0,0,0.0," 398,631",0.0,8349990.0,0.0,0,0.0,0.0," 120,246"," 116,383",0,0.0,0.0,0.0,0.0,225703,0.0,0.0,0.0," 60,909",0,0,0.0," 8,940",0.0,532181.0,0.0,0,0.0,0.0," 187,594"," 354,931",0,0.0,0.0,0.0,0.0,6154075,0.0,0.0,0.0," 3,790,433",0,0,0.0," 40,994",0.0,10528027.0
00008,0008,Tri-County Metropolitan Transportation District of Oregon,TriMet,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2019,10/31/2019,"1800 SW 1st Avenue, Suite 300",,,Portland,OR,97201,5354.0,10,http://www.trimet.org/,1728.0,7909096.0,383,"1,565,010",24.0,"Portland, OR-WA",,"1,849,898","3,528",524,700,273,973,,,Tier I (Rail),0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0," 5,689,820"," 1,147,010",0,0.0,0.0,0.0," 9,047,431"," 22,096,462",0.0,0.0,0.0,0,0,0,0.0,0," 159,891",38140614.0,0.0,0,0.0,0.0," 457,984"," 43,353",0,0.0,0.0,0.0," 636,340"," 2,039,265",0.0,0.0,0.0,0,0,0,0.0,0," 7,414",3184356.0,0.0,0,0.0,0.0," 854,159"," 108,056",0,0.0,0.0,0.0," 38,867,576"," 56,429,170",0.0,0.0,0.0,0,0,0,0.0,0," 374,044",96633005.0
00009,0T09,Kalispel Tribe of Indians,KTI,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2019,4/30/2020,,,39,Usk,WA,99180,39.0,10,http://www.kalispeltribe.com/,6680.0,71836951.0,,,0.0,Washington Non-UZA,"Kalispel Reservation and Off-Reservation Trust Land, WA",0,0,0,11,,11,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0," 49,453",0,0,0.0,0.0,0.0,0," 98,861",0.0,0.0,0.0,0,0,0,0.0,0,0,148314.0,0.0,0,0.0,0.0," 2,815",0,0,0.0,0.0,0.0,0," 3,072",0.0,0.0,0.0,0,0,0,0.0,0,0,5887.0,0.0,0,0.0,0.0," 1,336",0,0,0.0,0.0,0.0,0," 5,405",0.0,0.0,0.0,0,0,0,0.0,0,0,6741.0
00010,0T10,Klamath Tribes,KT,,Active,Reduced Reporter,Tribe,Tribe,,,,12/31/2019,4/30/2020,501 S. Chiloquin Blvd.,,436,Chiloquin,OR,97624,,10,http://klamathtribes.org/administration/community-services/transportation-program/,6806.0,161155288.0,0,0,0.0,Oregon Non-UZA,"Klamath Reservation, OR",0,0,0,7,,7,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0," 85,864",0.0,0.0," 74,879",0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,160743.0,0.0," 3,696",0.0,0.0," 2,878",0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,6574.0,0.0," 13,153",0.0,0.0," 2,020",0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,15173.0
